rank,step
1,"Run star lambda extension to 1.75,1.80 at chi=4,5 and multipliers 3.0,4.0 to test if peak has moved beyond current window."
2,"Run star fine-grid interpolation at chi=4, multiplier=3.0 on 1.58-1.68 step 0.01 to resolve local maximum shape."
3,"Run star fine-grid interpolation at chi=5, multiplier=3.0 on 1.56-1.66 step 0.01 for chi-convergence against chi=4."
4,"Run cycle triplet (0.55,0.61,0.65) under multipliers 2.0 and 4.0 at chi=4,5 to test whether cycle stability survives hotspot changes."
5,"Run path local window (0.95,1.00,1.05) under multipliers 2.0 and 4.0 at chi=4,5 to verify path guard stability under protocol changes."
6,Fix tester.py lambda conversion bug (lines cited in AGENTS) and rerun canonical N4 lambda~1.058 comparator to quantify residual impact.
7,Add a dedicated regression script that compares dense vs iterative outputs on fixed seeds and fails if max metric diff >1e-8.
8,"Run kappa sensitivity (0.05,0.1,0.2) on star refined window at chi=4,5 with multiplier=3.0 to separate hotspot-vs-penalty effects."
9,"Run deltaB sensitivity (4.0,5.0,6.0) on the same star window to test if energy-spacing scale drives remaining peak drift."
10,Promote sparse backend in scan defaults via solver-backend=auto thresholds in run recipes/docs and deprecate dense-only guidance for N5.
